date,log_gdp,log_cpi,ffr,rrshock,shadow_rate,employment,real_wage,house_price,r_investment,consumption
1975-01-01,862.1861807766934,689.2844666246383,6.303333333,-0.548171457,6.303333333,76953,4.64,71.08122322,149.761,3072.279759
1975-04-01,862.8981762784952,692.1263629006929,5.42,-0.251304597,5.42,76535,4.69,71.85498586,152.501,3118.672199
1975-07-01,864.5953445237966,695.387521459569,6.16,-0.225913064,6.16,77050,4.77,70.78201285,162.091,3143.488886
1975-10-01,865.9328836068862,698.1284512270253,5.413333333,-0.325379171,5.413333333,77747,4.85,70.55772408,169.799,3168.671527
1976-01-01,868.1567318969416,701.2025200157934,4.826666667,-0.805127688,4.826666667,78789,4.93,71.2669229,186.021,3214.880056
1976-04-01,868.8877539844,702.9530335908058,5.196666667,-0.167796703,5.196666667,79327,5.01,72.2913364,192.795,3245.576612
1976-07-01,869.4349598427739,705.5140265895195,5.283333333,-0.207295444,5.283333333,79714,5.1,72.35393863,189.989,3280.951064
1976-10-01,870.1571964023259,708.3723361803917,4.873333333,-0.211965763,4.873333333,80200,5.2,72.94128522,212.46,3321.248939
1977-01-01,871.3317549749652,711.3304961895299,4.66,-0.540203274,4.66,81023,5.29,73.68926034,219.77,3350.158268
1977-04-01,873.2572115885029,713.5687347028144,5.156666667,-0.39802229,5.156666667,82101,5.39,75.28830744,248.168,3364.805333
1977-07-01,875.0454821889318,715.9991504499619,5.82,-0.22319431,5.82,83147,5.48,76.6693502,252.711,3396.138468
1977-10-01,875.0476679369677,718.9016783630996,6.513333333,-0.237199816,6.513333333,84128,5.58,78.27268586,246.144,3444.211816
1978-01-01,875.3663229336692,721.081845347222,6.756666667,-0.198291155,6.756666667,85001,5.69,79.35779576,253.073,3484.289748
1978-04-01,879.157799576387,725.233739856673,7.283333333,-0.172835915,7.283333333,86540,5.82,80.08987598,268.738,3530.384782
1978-07-01,880.1582950146051,727.3925004482659,8.1,-0.418170404,8.1,87436,5.93,80.90171088,274.614,3557.170364
1978-10-01,881.493484617877,730.0675359588007,9.583333333,0.215599925,9.583333333,88339,6.06,81.82635094,274.89,3587.050455
1979-01-01,881.6731104815808,732.4555896754047,10.07333333,-0.120376215,10.07333333,89114,6.18,82.31973263,269.014,3617.933542
1979-04-01,881.7799731943634,735.0901454057989,10.18,-0.048487701,10.18,89771,6.27,82.53967156,266.312,3635.258359
1979-07-01,882.5200989618461,738.5168886402886,10.94666667,0.950590271,10.94666667,90281,6.4,82.29875261,263.81,3667.785146
1979-10-01,882.7698618288277,741.1616708946494,13.57666667,0.125986481,13.57666667,90575,6.51,82.0324296,253.781,3698.091352
1980-01-01,883.0838873277671,743.9735556820525,15.04666667,1.825985819,15.04666667,90892,6.63,80.75900918,235.851,3701.555917
1980-04-01,881.0018912596677,744.114442115688,12.68666667,-4.066538802,12.68666667,90457,6.77,79.6162108,192.135,3668.542593
1980-07-01,880.8829734631747,747.522585145408,9.83666666699999,1.225845639,9.83666666699999,90051,6.91,79.5635339499999,198.454,3694.28791
1980-10-01,882.730722555059,751.3108958591413,15.85333333,2.508507338,15.85333333,90727,7.08,78.48862291,217.88,3739.181378
1981-01-01,884.6712023340117,754.2054383732877,16.57,-0.409944045,16.57,91116,7.23,77.42558699,211.59,3745.365118
1981-04-01,883.9273792030426,755.8829683120175,17.78,1.512117453,17.78,91356,7.37,76.9324849,202.493,3766.399089
1981-07-01,885.1177908152199,757.9729894309281,17.57666667,-0.752377502,17.57666667,91548,7.51,75.29605105,186.623,3770.802178
1981-10-01,884.0222475074224,758.8019833711069,13.58666667,-0.829179192,13.58666667,91149,7.62,73.10907485,166.065,3782.214999
1982-01-01,882.4565090684816,760.7927724478835,14.22666667,0.593600575,14.22666667,90521,7.73,69.28894011,157.084,3799.489876
1982-04-01,882.9116701523553,762.0508989181001,14.51333333,-0.121563729,14.51333333,90041,7.82,68.27638338,152.749,3811.578365
1982-07-01,882.5286382466398,764.2811862619292,11.00666667,-0.456889384,11.00666667,89356,7.93,66.50579946,152.527,3842.77371
1982-10-01,882.5685765441183,767.1174512527414,9.286666667,0.420087853,9.286666667,88821,7.98,70.74942398,164.698,3899.62964
1983-01-01,883.8778160542795,768.9188024409443,8.653333333,0.319936033,8.653333333,88999,8.08,73.66944521,194.975,3938.554952
1983-04-01,886.1279226514558,771.8418792969921,8.803333333,-0.002138867,8.803333333,89676,8.16,73.78374177,218.889,3992.760808
1983-07-01,888.107268018358,774.92793602831,9.46,-0.193619804,9.46,90604,8.23,73.87010396,241.607,4057.001522
1983-10-01,890.1720219846078,777.1699530484083,9.43,0.198792075,9.43,91875,8.32,74.02118413,253.02,4101.642095
1984-01-01,892.1079320259162,779.0778740740146,9.686666667,0.120082469,9.686666667,93086,8.39,73.84635087,261.257,4124.060423
1984-04-01,893.8209680844112,781.4359245266747,10.55666667,0.095384589,10.55666667,94123,8.46,74.00490846,267.334,4178.198829
1984-07-01,894.7804142723596,782.943148313263,11.39,0.25118868,11.39,95055,8.52,74.165514,266.024,4217.924479
1984-10-01,895.5979207103367,784.8465415397036,9.266666667,-0.779854474,9.266666667,95906,8.58,74.42721046,267.579,4262.364706
1985-01-01,896.5623276217252,787.7017895622398,8.476666667,0.074850936,8.476666667,96572,8.64,74.81946643,269.154,4327.217223
1985-04-01,897.4389404725476,789.4243489845542,7.923333333,-0.153126773,7.923333333,97270,8.71,74.74362778,270.935,4369.1605
1985-07-01,898.9545186092139,792.0882298293026,7.9,0.244469185,7.9,97844,8.77,75.4687034,277.739,4427.432177
1985-10-01,899.6950968906255,792.9990356052482,8.103333333,0.030861328,8.103333333,98428,8.82,75.89567239,284.935,4467.638064
1986-01-01,900.624291185687,794.5767945521317,7.826666667,-0.08673954,7.826666667,98838,8.86999999999999,76.69086338,298.771,4503.543035
1986-04-01,901.0736573843285,795.5600450596594,6.92,0.290985636,6.92,99175,8.9,78.47623279,316.659,4530.793329
1986-07-01,902.0261001006787,797.8379531110078,6.206666667,-0.395367646,6.206666667,99665,8.93,79.37808273,323.803,4557.412518
1986-10-01,902.5616491912994,799.0509151715788,6.266666667,0.017428993,6.266666667,100313,8.99,80.11347812,326.894,4603.635253
1987-01-01,903.3039072576008,800.0852386962138,6.22,0.452640023,6.22,100920,9.05,80.69787153,327.681,4657.599748
1987-04-01,904.3769715897131,802.3978251909907,6.65,0.267794644,6.65,101709,9.1,80.9603314,330.579,4701.516696
1987-07-01,905.240796709892,804.472252152671,6.843333333,-0.158629426,6.843333333,102438,9.16,81.22575267,330.284,4733.353921
1987-10-01,906.9432583369903,805.544340529684,6.916666667,-0.171970415,6.916666667,103390,9.26,81.53769782,330.434,4770.848543
1988-01-01,907.4585824258368,808.0825478568256,6.663333333,-0.066579815,6.663333333,104152,9.3,82.08741829,324.176,4839.472854
1988-04-01,908.7639262395833,809.9159427632218,7.156666667,0.568610725,7.156666667,105007,9.39,82.49786965,329.644,4885.455606
1988-07-01,909.3481446698245,812.0261569326311,7.983333333,-0.176617761,7.983333333,105746,9.47,82.72917267,331.396,4950.944301
1988-10-01,910.6718455190183,814.1626633653937,8.47,0.429766813,8.47,106597,9.58,83.2831028699999,334.558,4997.768122
1989-01-01,911.6833105945652,815.7714320144771,9.443333333,0.320884212,9.443333333,107403,9.68,83.85241275,330.199,5033.824359
1989-04-01,912.4436781164803,817.5772732510975,9.726666667,0.134953508,9.726666667,107910,9.75,83.92814011,322.047,5060.713794
1989-07-01,913.1818240973084,819.1296832527197,9.083333333,-0.063844993,9.083333333,108186,9.84,84.784475,320.253,5102.167183
1989-10-01,913.3786811808408,820.3495631761175,8.613333333,0.023752507,8.613333333,108688,9.94,85.3014867299999,313.585,5157.042587
1990-01-01,914.4655487348329,822.6279235383716,8.25,0.224425362,8.25,109426,10.07,84.76080147,317.096,5181.058645
1990-04-01,914.8278035893712,823.8378355231563,8.243333333,0.032958028,8.243333333,109794,10.16,84.47842185,304.738,5233.947634
1990-07-01,914.8942939118206,825.49709168677,8.16,0.064119101,8.16,109653,10.25,83.33984651,287.788,5275.509615
1990-10-01,913.97972995484,826.0467003084901,7.743333333,-0.108630906,7.743333333,109249,10.32,81.68745742,270.78,5259.128905
1991-01-01,913.5107644445292,826.1939586183795,6.426666667,0.060211249,6.426666667,108788,10.39,81.14003115,254.939,5254.632609
1991-04-01,914.2874583903606,827.5605589522431,5.863333333,0.237693317,5.863333333,108316,10.49,80.77823522,263.468,5302.536844
1991-07-01,914.7915242718609,828.7352262654297,5.643333333,0.0881796,5.643333333,108313,10.56,80.15353343,273.236,5323.740641
1991-10-01,915.1394820981043,829.4049640102028,4.816666667,0.067731128,4.816666667,108327,10.61,80.02887377,278.197,5336.278941
1992-01-01,916.3295304239842,831.8839808909246,4.023333333,0.02834449,4.023333333,108348,10.67,80.22681474,294.268,5425.964863
1992-04-01,917.4080144258177,833.2236164820599,3.77,0.159283524,3.77,108628,10.74,79.51502332,306.726,5465.498848
1992-07-01,918.3912717570903,834.924780056679,3.256666667,-0.011260574,3.256666667,108892,10.81,79.14695046,308.178,5520.380818
1992-10-01,919.4287511508701,836.8043320010354,3.036666667,-0.227656496,3.036666667,109302,10.87,78.9450263699999,323.364,5584.365116
1993-01-01,919.5955909877263,837.7816174947595,3.04,0.078452791,3.04,109944,10.96,78.13514526,326.784,5606.356968
1993-04-01,920.1760167071633,839.3578182816927,3,0.34250175,3,110538,11.01,77.96402403,333.387,5640.467667
1993-07-01,920.6520385107879,840.8984178194127,3.06,0.317934082,3.06,111236,11.07,77.91111795,346.092,5702.865047
1993-10-01,922.0029480594981,842.3475742542331,2.99,-0.152162161,2.99,112010,11.15,77.53018959,365.161,5739.881419
1994-01-01,922.9685835965611,843.8409690608862,3.213333333,0.60457583,3.213333333,112873,11.23,77.57209908,374.082,5796.315373
1994-04-01,924.314583983808,845.1736915937621,3.94,0.351863969,3.94,113915,11.29,77.86177427,387.417,5838.594552
1994-07-01,924.8974182166378,846.6468156591266,4.486666667,0.619114598,4.486666667,114918,11.36,77.63914731,383.342,5880.752782
1994-10-01,926.0364250996863,848.1918283325099,5.166666667,0.446092676,5.166666667,115831,11.45,77.60914239,380.915,5925.89279
1995-01-01,926.3904930090395,848.9307987926702,5.81,0.775049886,5.81,116702,11.52,77.43056148,374.86,5962.128702
1995-04-01,926.688354659529,850.3824223677283,6.02,0.22511978,6.02,117135,11.59,76.79427946,364.038,6019.175491
1995-07-01,927.5354217629156,851.6933157610378,5.796666667,0.085117549,5.796666667,117630,11.7,76.75858902,377.019,6063.472915
1995-10-01,928.2121632291146,852.8271598623238,5.72,-0.004389012,5.72,118175,11.78,76.73115026,386.69,6102.423859
1996-01-01,928.958343694377,854.2977890389965,5.363333333,0.142880881,5.363333333,118683,11.87,76.62090273,398.697,6161.606417
1996-04-01,930.6124712076019,856.0348461730165,5.243333333,0.010358362,5.243333333,119471,11.98,76.61660554,418.601,6221.07934
1996-07-01,931.5054828983054,857.0639167121863,5.306666667,0.031237528,5.306666667,120208,12.09,76.67853804,424.402,6264.109275
1996-10-01,932.5385262331894,858.5375067468608,5.28,0.115759696,5.28,120923,12.2,76.44638279,419.281,6313.846376
1997-01-01,933.1820121912406,860.0265152419315,5.276666667,0.120378636,5.276666667,121676,12.32,76.55743793,419.948,6372.839772
1997-04-01,934.830330580107,860.7253249783886,5.523333333,0.102561231,5.523333333,122549,12.43,77.02216042,434.72,6420.397754
1997-07-01,936.0733515383039,862.6800675921388,5.533333333,-0.049561469,5.533333333,123263,12.56,77.22003507,439.039,6513.062604
1997-10-01,936.9284288724281,864.1815011410816,5.506666667,-0.052749958,5.506666667,124238,12.71,77.72787925,448.27,6586.346276
1998-01-01,937.9228435410182,865.1951331278582,5.52,-0.010162094,5.52,124997,12.83,78.61984592,459.883,6662.240265
1998-04-01,938.8444045995809,867.1218149055079,5.5,-0.054549957,5.5,125787,12.96,79.61085242,480.773,6756.592058
1998-07-01,940.0893869845504,868.7256589703544,5.533333333,-0.07733503,5.533333333,126500,13.06,80.4199143,499.084,6840.168151
1998-10-01,941.6926563612234,870.4203737696323,4.86,-0.283454041,4.86,127260,13.18,81.26682266,514.914,6903.443518
1999-01-01,942.6320567611551,871.6371865276616,4.733333333,-0.236490049,4.733333333,128016,13.3,82.32187543,519.845,6994.553127
1999-04-01,943.4635899510924,873.722791533036,4.746666667,0.15566085,4.746666667,128831,13.42,83.07404652,535.38,7078.432233
1999-07-01,944.7779414109445,875.3892447592939,5.093333333,0.254192175,5.093333333,129585,13.55,84.05618375,545.486,7155.347392
1999-10-01,946.4073727846932,877.4467601446594,5.306666667,-0.135526783,5.306666667,130472,13.67,84.99602228,551.437,7276.872682
2000-01-01,946.771157645587,879.7578708635381,5.676666667,0.030051411,5.676666667,131242,13.8,86.06926184,560.317,7355.922137
2000-04-01,948.5753664798251,881.1637349347141,6.273333333,0.379320278,6.273333333,132018,13.94,87.1701172899999,560.446,7465.733475
2000-07-01,948.6750908667843,882.7614750837508,6.52,-0.032982608,6.52,132273,14.07,87.94174939,555.143,7543.537843
2000-10-01,949.2676932603196,884.1968716005125,6.473333333,0.159015488,6.473333333,132539,14.23,89.03211419,559.664,7621.087022
2001-01-01,948.9429455219695,885.2993773956911,5.593333333,-0.416386985,5.593333333,132745,14.36,89.99455281,570.512,7647.827329
2001-04-01,949.5624120747524,885.9675900334133,4.326666667,-0.537955818,4.326666667,132391,14.5,90.93378993,587.258,7680.275295
2001-07-01,949.1612595166631,886.3658190805083,3.496666667,-0.104883383,3.496666667,131992,14.59,92.15074564,595.903,7706.105323
2001-10-01,949.4381900682963,888.0070858631497,2.133333333,-0.507873927,2.133333333,131193,14.71,93.75130457,594.985,7759.34598
2002-01-01,950.2630063031164,888.429162157921,1.733333333,-0.481132852,1.733333333,130768,14.79,95.41358178,610.971,7806.289424
2002-04-01,950.8766222794621,889.6724917497897,1.75,0.240974229,1.75,130647,14.89,96.82565616,633.22,7859.436687
2002-07-01,951.2793389900701,890.8843310490674,1.74,0.135797992,1.74,130559,15.02,98.60499505,636.908,7899.042381
2002-10-01,951.4099094767561,891.9051803930291,1.443333333,-0.239852648,1.443333333,130572,15.16,100.4287047,655.483,7974.805963
2003-01-01,951.9253022305498,893.156518188406,1.25,0.052846145,1.25,130419,15.26,101.4741257,680.744,8043.327965
2003-04-01,952.8147130216528,894.3963066018231,1.246666667,-0.193986732,1.246666667,130189,15.32,103.4261214,693.206,8109.571788
2003-07-01,954.4678690555788,896.4554916431133,1.016666667,-0.256101772,1.016666667,130198,15.41,105.0551828,738.17,8208.548595
2003-10-01,955.6153064688727,897.6325440773337,0.996666667,-0.192802227,0.996666667,130505,15.46,107.4865098,767.114,8273.468847
2004-01-01,956.1865880299732,899.3278290977842,1.003333333,-0.25569233,1.003333333,130912,15.53,109.5778691,786.227,8351.441622
2004-04-01,956.9623102681346,900.5417314692168,1.01,0.027404464,1.01,131633,15.63,112.3466358,819.144,8410.290316
2004-07-01,957.8991553628297,902.1996718703697,1.433333333,0.466333737,1.433333333,131959,15.73,115.1459399,834.219,8507.65673
2004-10-01,958.9159953464796,904.1767862361841,1.95,0.464423016,1.95,132525,15.84,117.1479166,850.577,8603.432045
2005-01-01,960.0207528735932,905.3885372576017,2.47,0.178914808,2.47,132987,15.93,120.1258211,871.72,8670.462313
2005-04-01,960.5061772591148,907.1204733431829,2.943333333,0.536858333,2.943333333,133717,16.04,123.0913814,893.658,8756.60906
2005-07-01,961.2887292981801,909.0215847172396,3.46,0.321142602,3.46,134453,16.17,124.9685224,919.316,8838.460393
2005-10-01,961.8550509042607,910.000081477119,3.98,0.307245465,3.98,134932,16.31,126.8960994,923.383,8909.798217
2006-01-01,963.1947034740143,911.6051670285407,4.456666667,0.250326886,4.456666667,135738,16.48,128.2040806,920.974,8982.963345
2006-04-01,963.4399861405379,912.9965109012264,4.906666667,0.608944607,4.906666667,136258,16.67,127.8401678,877.539,9053.257975
2006-07-01,963.5903292567261,914.3537956829966,5.246666667,0.127598704,5.246666667,136686,16.82,126.2852978,828.715,9116.287868
2006-10-01,964.4305015999738,915.1375621810278,5.246666667,-0.002395471,5.246666667,137055,16.98,126.6138223,790.3,9203.50102899999
2007-01-01,964.7236703008948,916.6607896111177,5.256666667,0.122191085,5.256666667,137609,17.15,126.0413885,756.411,9269.397988
2007-04-01,965.3600754705748,917.7682873731243,5.25,-0.066725143,5.25,137968,17.34,123.9998195,723.077,9300.772053
2007-07-01,965.9605755120938,918.997438602331,5.073333333,-0.522373026,5.073333333,138049,17.51,120.8984519,673.705,9372.109737
2007-10-01,966.5683687041123,920.4030506580144,4.496666667,-0.347258391,4.496666667,138283,17.63,116.4142835,620.614,9423.309797
2008-01-01,966.1601069749734,921.0790270756547,3.176666667,NA,3.176666667,138334,17.8,111.6316325,570.997,9464.248162
2008-04-01,966.730770931016,922.3246725525693,2.086666667,NA,2.086666667,137860,17.98,106.4978718,537.92,9522.471513
2008-07-01,966.2024850530005,922.612513453163,1.94,NA,1.94,137152,18.16,101.8508967,504.482,9496.496853
2008-10-01,963.9952057445751,920.0986763049068,0.506666667,NA,0.506666667,135552,18.31,100.6567257,439.366,9475.585906
2009-01-01,962.8226353991014,919.1667106710561,0.183333333,NA,0.745843333,133293,18.45,98.08233127,398.845,9445.28818399999
2009-04-01,962.6532538909199,919.0698731720895,0.18,NA,0.218266667,131433,18.54,95.80858576,376.42,9408.190723
2009-07-01,963.0145304911672,920.4261935655712,0.156666667,NA,-0.268723333,130466,18.65,95.13068216,395.01,9442.924408
2009-10-01,964.0768300067851,921.0840247017833,0.12,NA,-0.413003333,129963,18.79,94.76142537,399.702,9461.642889
2010-01-01,964.5756373732798,922.0468904772224,0.133333333,NA,-0.48958,129789,18.9,94.41904185,388.558,9519.556352
2010-04-01,965.5386897406826,923.0936801774833,0.193333333,NA,-0.49714,130424,19,93.57297308,405.178,9592.172105
2010-07-01,966.3088604477673,923.997684110449,0.186666667,NA,-0.69464,130402,19.09,91.40430082,370.629,9661.592999
2010-10-01,966.8271103692053,925.2470310764292,0.186666667,NA,-0.94533,130732,19.21,89.41188608,377.361,9707.584937
2011-01-01,966.5859036314018,926.4658088185771,0.156666667,NA,-1.031333333,131061,19.31,87.36337471,375.167,9748.555429
2011-04-01,967.261665957135,927.5472466913964,0.093333333,NA,-1.10953,131748,19.39,85.26696995,380.603,9775.874958
2011-07-01,967.2228912780705,928.312604170183,0.083333333,NA,-1.323953333,132161,19.47,84.23823036,384.555,9806.128661
2011-10-01,968.3383253013681,928.8152902344292,0.073333333,NA,-1.46241,132717,19.56,83.76231462,394.336,9806.699771
2012-01-01,969.1529212860218,930.1943689849181,0.103333333,NA,-1.41919,133505,19.61,83.5500209,415.624,9867.148019
2012-04-01,969.6077453782113,930.6104993960562,0.153333333,NA,-1.20344,133925,19.69,84.68766396,419.228,9893.82742399999
2012-07-01,969.7824756135876,931.1036024056845,0.143333333,NA,-1.265966667,134336,19.75,85.76745686,434.453,9911.29069899999
2012-10-01,969.8922534031813,932.0601858233715,0.16,NA,-1.397243333,134861,19.84,87.0238334799999,458.587,9939.876573
2013-01-01,970.7562992997954,932.9509113764869,0.143333333,NA,-1.4069,135495,19.98,88.89793949,482.336,9978.18237
2013-04-01,970.8955874685364,933.1761227180522,0.116666667,NA,-1.254073333,136079,20.07,91.58514766,503.15,9999.439281
2013-07-01,971.6841237441809,933.9542406439475,0.083333333,NA,-1.663673333,136610,20.18,93.45407413,519.381,10042.5079
2013-10-01,972.3927778506837,935.1701035715039,0.086666667,NA,-1.99476,137239,20.3,94.57006308,517.361,10131.8342
2014-01-01,972.0420537957549,936.0319505848884,0.073333333,NA,-2.514266667,137743,20.46,95.32210572,520.902,10171.83283
2014-04-01,973.318007678534,937.4557358957973,0.093333333,NA,-2.922003333,138547,20.54,95.85027459,537.282,10248.20535
2014-07-01,974.4762358890149,938.7171886026499,0.09,NA,-2.8448,139297,20.65,96.6471576099999,552.131,10348.51568
2014-10-01,974.9242243231641,939.7135241902685,0.1,NA,-2.6636,140101,20.72,98.18907783,567.608,10462.72011
2015-01-01,975.7342483786737,939.9629267066827,0.11,NA,-2.016953333,140772,20.83,100.1901433,583.173,10521.96928
2015-04-01,976.31257427765,941.1213774164664,0.123333333,NA,-1.476873333,141473,20.97,100.9093996,602.343,10582.69936
2015-07-01,976.6354252252142,942.1225089894452,0.136666667,NA,-0.98364,142136,21.07,102.106543,621.627,10667.56509
2015-10-01,976.7815527534941,942.5250118363289,0.16,NA,-0.093356667,142836,21.21,103.6602127,637.756,10726.38319
2016-01-01,977.3690037449436,943.3091846438307,0.36,NA,0.478116667,143425,21.35,105.0661639,663.883,10805.18274
2016-04-01,977.6709362762499,944.4415950339952,0.373333333,NA,0.436663333,143964,21.49,105.704575,668.966,10867.63362
2016-07-01,978.270252164766,945.4000021495858,0.396666667,NA,0.47682,144713,21.61,106.8427696,675.12,10925.50783
2016-10-01,978.7659105426385,946.3547452504779,0.45,NA,0.458046667,145229,21.73,107.8407987,689.239,10984.42928
2017-01-01,979.236731481258,947.649743468237,0.7,NA,0.46875,145780,21.86,108.8571194,709.703,11072.00657
2017-04-01,979.7949354427043,948.2959566750917,0.95,NA,0.977183333,146318,21.97,110.529806,719.573,11127.45979
2017-07-01,980.511511881461,949.2529887918314,1.153333333,NA,1.096836667,146875,22.13,111.7711254,723.039,11183.11885
2017-10-01,981.447517487933,950.975583814465,1.203333333,NA,1.28287,147405,22.23,112.680075,736.972,11282.82075
2018-01-01,982.2074765065086,952.3500114633608,1.446666667,NA,1.53061,147988,22.42,113.8508625,743.564,11359.58497
2018-04-01,983.0379295884912,953.6098271680193,1.736666667,NA,1.788103333,148648,22.61,114.7631684,752.638,11455.97624
2018-07-01,983.5187244742997,954.6012288426626,1.923333333,NA,2.0316,149218,22.79,115.4744287,749.988,11538.27256
2018-10-01,983.7416177177571,955.4135728977178,2.22,NA,2.411133333,149717,23,116.1166952,734.727,11599.18644
2019-01-01,984.3376283306703,955.7180108434798,2.403333333,NA,2.45096,150168,23.2,116.8736528,734.007,11624.47792
2019-04-01,985.1274256129104,956.9677768440562,2.396666667,NA,2.336306667,150582,23.41,116.9036498,741.767,11714.35422
2019-07-01,985.8105855437454,958.067558810061,2.19,NA,2.050283333,151117,23.62,117.5757692,753.249,11801.30258
2019-10-01,986.2785863278905,959.0084171901381,1.643333333,NA,1.634296667,151734,23.81,118.2912985,757.959,11856.54962
2020-01-01,984.9664323719494,957.7771262766413,1.26,NA,1.24459,151866,24,120.1254125,797.908,11674.8329
2020-04-01,975.6042961546782,947.6528086962903,0.06,NA,0.460336667,133665,24.98,122.1785915,731.07,10426.19361
2020-07-01,982.880570805687,957.4198455286216,0.093333333,NA,0.197343333,140860,24.76,124.8722735,833.654,11246.47256
2020-10-01,983.9896742178796,958.7824299409887,0.09,NA,-0.114103333,142619,24.97,129.3069015,910.817,11354.1403
